T_forfft,V_forfft
-1.61588e+02,0.00000e+00
-1.60887e+02,0.00000e+00
-1.60186e+02,0.00000e+00
-1.59485e+02,0.00000e+00
-1.58784e+02,0.00000e+00
-1.58083e+02,0.00000e+00
-1.57382e+02,0.00000e+00
-1.56681e+02,0.00000e+00
-1.55980e+02,0.00000e+00
-1.55279e+02,0.00000e+00
-1.54578e+02,0.00000e+00
-1.53877e+02,0.00000e+00
-1.53176e+02,0.00000e+00
-1.52475e+02,0.00000e+00
-1.51774e+02,0.00000e+00
-1.51073e+02,0.00000e+00
-1.50372e+02,0.00000e+00
-1.49671e+02,0.00000e+00
-1.48971e+02,0.00000e+00
-1.48270e+02,0.00000e+00
-1.47569e+02,0.00000e+00
-1.46868e+02,0.00000e+00
-1.46167e+02,0.00000e+00
-1.45466e+02,0.00000e+00
-1.44765e+02,0.00000e+00
-1.44064e+02,0.00000e+00
-1.43363e+02,0.00000e+00
-1.42662e+02,0.00000e+00
-1.41961e+02,0.00000e+00
-1.41260e+02,0.00000e+00
-1.40559e+02,0.00000e+00
-1.39858e+02,0.00000e+00
-1.39157e+02,0.00000e+00
-1.38456e+02,0.00000e+00
-1.37755e+02,0.00000e+00
-1.37054e+02,0.00000e+00
-1.36353e+02,0.00000e+00
-1.35652e+02,0.00000e+00
-1.34951e+02,0.00000e+00
-1.34250e+02,0.00000e+00
-1.33549e+02,0.00000e+00
-1.32848e+02,0.00000e+00
-1.32147e+02,0.00000e+00
-1.31446e+02,0.00000e+00
-1.30745e+02,0.00000e+00
-1.30044e+02,0.00000e+00
-1.29344e+02,0.00000e+00
-1.28643e+02,0.00000e+00
-1.27942e+02,0.00000e+00
-1.27241e+02,0.00000e+00
-1.26540e+02,0.00000e+00
-1.25839e+02,0.00000e+00
-1.25138e+02,0.00000e+00
-1.24437e+02,0.00000e+00
-1.23736e+02,0.00000e+00
-1.23035e+02,0.00000e+00
-1.22334e+02,0.00000e+00
-1.21633e+02,0.00000e+00
-1.20932e+02,0.00000e+00
-1.20231e+02,0.00000e+00
-1.19530e+02,0.00000e+00
-1.18829e+02,0.00000e+00
-1.18128e+02,0.00000e+00
-1.17427e+02,0.00000e+00
-1.16726e+02,0.00000e+00
-1.16025e+02,0.00000e+00
-1.15324e+02,0.00000e+00
-1.14623e+02,0.00000e+00
-1.13922e+02,0.00000e+00
-1.13221e+02,0.00000e+00
-1.12520e+02,0.00000e+00
-1.11819e+02,0.00000e+00
-1.11118e+02,0.00000e+00
-1.10417e+02,0.00000e+00
-1.09716e+02,0.00000e+00
-1.09016e+02,0.00000e+00
-1.08315e+02,0.00000e+00
-1.07614e+02,0.00000e+00
-1.06913e+02,0.00000e+00
-1.06212e+02,0.00000e+00
-1.05511e+02,0.00000e+00
-1.04810e+02,0.00000e+00
-1.04109e+02,0.00000e+00
-1.03408e+02,0.00000e+00
-1.02707e+02,0.00000e+00
-1.02006e+02,0.00000e+00
-1.01305e+02,0.00000e+00
-1.00604e+02,0.00000e+00
-9.99030e+01,0.00000e+00
-9.92020e+01,0.00000e+00
-9.85011e+01,0.00000e+00
-9.78001e+01,0.00000e+00
-9.70991e+01,0.00000e+00
-9.63982e+01,0.00000e+00
-9.56972e+01,0.00000e+00
-9.49962e+01,0.00000e+00
-9.42953e+01,0.00000e+00
-9.35943e+01,0.00000e+00
-9.28933e+01,0.00000e+00
-9.21924e+01,0.00000e+00
-9.14914e+01,0.00000e+00
-9.07905e+01,0.00000e+00
-9.00895e+01,0.00000e+00
-8.93885e+01,0.00000e+00
-8.86876e+01,0.00000e+00
-8.79866e+01,0.00000e+00
-8.72856e+01,0.00000e+00
-8.65847e+01,0.00000e+00
-8.58837e+01,0.00000e+00
-8.51827e+01,0.00000e+00
-8.44818e+01,0.00000e+00
-8.37808e+01,0.00000e+00
-8.30798e+01,0.00000e+00
-8.23789e+01,0.00000e+00
-8.16779e+01,0.00000e+00
-8.09769e+01,0.00000e+00
-8.02760e+01,0.00000e+00
-7.95750e+01,0.00000e+00
-7.88741e+01,0.00000e+00
-7.81731e+01,0.00000e+00
-7.74721e+01,0.00000e+00
-7.67712e+01,0.00000e+00
-7.60702e+01,0.00000e+00
-7.53692e+01,0.00000e+00
-7.46683e+01,0.00000e+00
-7.39673e+01,0.00000e+00
-7.32663e+01,0.00000e+00
-7.25654e+01,0.00000e+00
-7.18644e+01,0.00000e+00
-7.11634e+01,0.00000e+00
-7.04625e+01,0.00000e+00
-6.97615e+01,0.00000e+00
-6.90605e+01,0.00000e+00
-6.83596e+01,0.00000e+00
-6.76586e+01,0.00000e+00
-6.69577e+01,0.00000e+00
-6.62567e+01,0.00000e+00
-6.55557e+01,0.00000e+00
-6.48548e+01,0.00000e+00
-6.41538e+01,0.00000e+00
-6.34528e+01,0.00000e+00
-6.27519e+01,0.00000e+00
-6.20509e+01,0.00000e+00
-6.13499e+01,0.00000e+00
-6.06490e+01,0.00000e+00
-5.99480e+01,0.00000e+00
