,EvNum,Omega_reco,power_V,power_H,powerV_noise,powerH_noise
322,19709,6.472617020725478,228464617.68363535,10426475.771827536,2305456.86774099,7515525.90979793
323,19715,7.857315830354662,80433164.97334206,9003437.886109333,2305456.86774099,7515525.90979793
324,19720,3.1970514317683993,97672435.69158864,7813071.913944924,2305456.86774099,7515525.90979793
325,19727,5.354891078735687,222413715.93288028,9449392.566540012,2305456.86774099,7515525.90979793
329,19754,8.303641107517544,244407784.49591982,12672583.237166436,2305456.86774099,7515525.90979793
330,19761,12.902459773271458,205124278.10422656,18158586.09179239,2305456.86774099,7515525.90979793
331,19768,6.6319626528023745,170265948.93755627,9786108.473403558,2305456.86774099,7515525.90979793
332,19772,16.454452317102824,64969944.00743724,12981813.404650388,2305456.86774099,7515525.90979793
333,19777,6.189852443016902,185215687.71769905,9667027.717018249,2305456.86774099,7515525.90979793
334,19785,5.915021778278166,164672755.74429932,9258373.62720305,2305456.86774099,7515525.90979793
335,19796,8.921324964725564,35821568.01393294,8341424.192494672,2305456.86774099,7515525.90979793
336,19805,7.391784473912604,62853686.42175108,8534568.792932613,2305456.86774099,7515525.90979793
337,19811,23.32282930240761,42779628.238774434,15038950.044680515,2305456.86774099,7515525.90979793
338,19816,8.336231810789744,227974839.93735027,12360889.427372005,2305456.86774099,7515525.90979793
339,19825,8.431573599796131,78597158.93812285,9191823.614971833,2305456.86774099,7515525.90979793
340,19829,7.121210073180701,59082903.95180558,8401716.092679227,2305456.86774099,7515525.90979793
341,19832,3.046408708108464,225166362.38845015,8146750.650848567,2305456.86774099,7515525.90979793
343,19846,10.411868506724288,145539565.65555653,12351611.0315097,2305456.86774099,7515525.90979793
344,19850,5.290689344801509,166979986.94605574,8927671.055534393,2305456.86774099,7515525.90979793
348,19884,7.245667565206298,44314674.56657512,8194579.025214443,2305456.86774099,7515525.90979793
351,19909,5.525062945071016,74147590.98628992,8187738.38765489,2305456.86774099,7515525.90979793
353,19931,1.5618872129195007,129694670.04644164,7610237.236308257,2305456.86774099,7515525.90979793
354,19941,3.119713972208448,110513598.6670804,7836968.338082375,2305456.86774099,7515525.90979793
355,19948,5.8842630431502325,126329917.34673278,8832895.141512463,2305456.86774099,7515525.90979793
356,19956,6.349281415232502,142021443.54421994,9245404.7347377,2305456.86774099,7515525.90979793
357,19964,11.092098194714538,171573372.9790615,14021372.74104764,2305456.86774099,7515525.90979793
358,19975,8.608948387966496,173048596.9874034,11429062.53279174,2305456.86774099,7515525.90979793
